match_id,team,player,x,y,outcome,body_part,shot_type
2275105,Manchester City WFC,Georgia Stanway,108.8,29.2,Goal,Right Foot,Open Play
2275105,Manchester City WFC,Caroline Weir,118.3,47.6,Saved,Right Foot,Open Play
2275105,Manchester City WFC,Caroline Weir,94.0,48.6,Blocked,Left Foot,Open Play
2275105,Manchester City WFC,Lauren Hemp,98.5,25.9,Blocked,Left Foot,Open Play
2275105,Chelsea FCW,Magdalena Lilly Eriksson,111.6,40.1,Goal,Head,Open Play
2275105,Manchester City WFC,Georgia Stanway,108.0,40.1,Saved,Right Foot,Penalty
2275105,Chelsea FCW,Bethany England,87.3,34.8,Goal,Right Foot,Open Play
2275105,Manchester City WFC,Janine Elizabeth Beckie,111.5,44.5,Blocked,Head,Open Play
2275105,Manchester City WFC,Lauren Hemp,109.7,38.7,Goal,Left Foot,Open Play
2275105,Manchester City WFC,Caroline Weir,109.0,30.1,Saved,Right Foot,Open Play
2275105,Chelsea FCW,Magdalena Lilly Eriksson,113.7,37.0,Off T,Head,Open Play
2275105,Chelsea FCW,Bethany England,103.2,42.4,Off T,Left Foot,Open Play
2275122,Reading WFC,Fara Williams,94.9,17.5,Off T,Right Foot,Open Play
2275122,Reading WFC,Fara Williams,86.3,37.8,Off T,Right Foot,Open Play
2275122,Reading WFC,Fara Williams,113.4,44.0,Off T,Right Foot,Open Play
2275122,Bristol City WFC,Abigail Harrison,93.6,25.2,Off T,Right Foot,Open Play
2275122,Reading WFC,Rachel Rowe,107.3,51.4,Saved,Left Foot,Open Play
2275122,Reading WFC,Remi Allen,107.3,43.4,Goal,Right Foot,Open Play
2275122,Reading WFC,Brooke Chaplen,110.1,49.8,Goal,Right Foot,Open Play
2275122,Reading WFC,Remi Allen,98.3,28.7,Saved,Right Foot,Open Play
2275122,Bristol City WFC,Carla Humphrey,98.1,46.9,Off T,Left Foot,Open Play
2275122,Bristol City WFC,Charlie Wellings,110.0,30.2,Wayward,Left Foot,Open Play
2275122,Bristol City WFC,Carla Humphrey,89.1,45.5,Saved,Right Foot,Open Play
2275122,Bristol City WFC,Charlie Wellings,109.8,52.3,Goal,Right Foot,Open Play
2275122,Reading WFC,Fara Williams,106.2,32.9,Off T,Right Foot,Open Play
2275122,Reading WFC,Rachel Rowe,101.3,24.0,Saved,Left Foot,Open Play
2275122,Reading WFC,Kristine Leine,114.1,33.4,Off T,Left Foot,Open Play
2275122,Reading WFC,Brooke Chaplen,88.5,43.9,Saved,Left Foot,Open Play
2275122,Reading WFC,Angharad James,115.5,43.4,Goal,Head,Open Play
2275122,Bristol City WFC,Yana Daniëls,115.5,39.5,Goal,Right Foot,Open Play
2275122,Reading WFC,Jade Moore,85.5,26.0,Off T,Right Foot,Open Play
2275122,Reading WFC,Remi Allen,99.6,41.6,Saved,Right Foot,Open Play
2275122,Bristol City WFC,Carla Humphrey,108.2,32.4,Off T,Right Foot,Open Play
2275122,Reading WFC,Kristine Leine,118.4,40.3,Off T,Head,Open Play
2275122,Reading WFC,Remi Allen,105.9,49.4,Off T,Right Foot,Open Play
2275122,Bristol City WFC,Gemma Evans,108.8,38.0,Saved,Head,Open Play
2275122,Reading WFC,Rachel Rowe,107.8,59.1,Off T,Right Foot,Open Play
2275122,Reading WFC,Fara Williams,109.6,53.3,Off T,Right Foot,Open Play
2275122,Bristol City WFC,Ebony Salmon,114.2,32.1,Goal,Left Foot,Open Play
2275122,Reading WFC,Fara Williams,84.0,38.2,Off T,Right Foot,Open Play
2275122,Reading WFC,Remi Allen,112.7,36.0,Blocked,Left Foot,Open Play
2275122,Reading WFC,Jade Moore,102.6,36.5,Off T,Right Foot,Open Play
2275142,Manchester United,Leah Galton,117.8,46.4,Off T,Head,Open Play
2275142,Bristol City WFC,Ebony Salmon,103.3,16.6,Saved,Right Foot,Open Play
2275142,Manchester United,Hayley Ladd,86.6,26.6,Blocked,Right Foot,Open Play
2275142,Manchester United,Jackie Groenen,102.3,28.5,Blocked,Right Foot,Open Play
2275142,Manchester United,Lauren James,102.1,20.4,Saved,Right Foot,Open Play
2275142,Bristol City WFC,Ebony Salmon,116.0,32.0,Goal,Right Foot,Open Play
2275142,Manchester United,Lauren James,93.8,46.8,Saved,Left Foot,Open Play
2275142,Manchester United,Katie Zelem,107.1,33.6,Blocked,Right Foot,Open Play
2275142,Manchester United,Hayley Ladd,101.0,38.9,Off T,Right Foot,Open Play
2275142,Manchester United,Millie Turner,111.4,41.6,Blocked,Left Foot,Open Play
2275142,Manchester United,Abbie McManus,110.8,33.1,Off T,Right Foot,Open Play
2275142,Manchester United,Martha Harris,94.9,20.2,Saved,Right Foot,Open Play
2275142,Manchester United,Amy Turner,103.4,48.1,Off T,Head,Open Play
2275142,Manchester United,Katie Zelem,91.0,53.8,Off T,Right Foot,Open Play
2275142,Bristol City WFC,Charlie Wellings,100.2,27.6,Blocked,Right Foot,Open Play
2275142,Manchester United,Jessica Sigsworth,111.2,43.2,Wayward,Right Foot,Open Play
2275142,Manchester United,Amy Turner,100.4,47.4,Off T,Right Foot,Open Play
2275142,Manchester United,Leah Galton,110.6,50.7,Off T,Left Foot,Open Play
2275142,Manchester United,Jackie Groenen,112.1,44.3,Saved,Right Foot,Open Play
2275142,Manchester United,Elizabeth Arnott,117.1,37.4,Post,Right Foot,Open Play
2275142,Manchester United,Leah Galton,111.9,55.8,Saved,Left Foot,Open Play
2275142,Manchester United,Amy Turner,91.1,54.3,Blocked,Right Foot,Open Play
2275142,Manchester United,Ella Toone,94.8,57.2,Saved,Left Foot,Open Play
2275142,Bristol City WFC,Yana Daniëls,88.2,38.3,Blocked,Right Foot,Open Play
2275142,Manchester United,Hayley Ladd,92.8,49.3,Saved,Right Foot,Open Play
2275142,Manchester United,Jackie Groenen,114.9,53.2,Off T,Right Foot,Open Play
2275142,Manchester United,Martha Harris,108.6,21.7,Off T,Left Foot,Open Play
2275142,Manchester United,Ella Toone,110.5,38.6,Post,Left Foot,Open Play
2275142,Manchester United,Leah Galton,115.7,50.5,Saved,Left Foot,Open Play
data1,Barcelona,Lionel Andrés Messi Cuccittini,111.5,52.9,Off T,Right Foot,Open Play
data1,Barcelona,Jordi Alba Ramos,113.9,26.4,Off T,Left Foot,Open Play
data1,Barcelona,Lionel Andrés Messi Cuccittini,93.7,34.7,Saved,Left Foot,Open Play
