match_id,team,player,x,y,outcome,body_part,shot_type,is_goal,is_header,distance,angle,xG
19733,Manchester City WFC,Georgia Stanway,105.0,54.0,Wayward,Left Foot,Open Play,0,0,20.518284528683196,0.2631327887445208,0.07525009073490996
19733,Manchester City WFC,Caroline Weir,95.0,38.0,Saved,Left Foot,Open Play,0,0,25.079872407968907,0.2889492546674073,0.0628981979332825
19733,Birmingham City WFC,Lucy Staniforth,117.0,54.0,Saved,Right Foot,Open Play,0,0,14.317821063276352,0.1141132320262977,0.08593409630131094
19775,Reading WFC,Remi Allen,96.0,53.0,Blocked,Right Foot,Open Play,0,0,27.29468812791236,0.2356676842296738,0.05403478422829141
19775,Reading WFC,Fara Williams,95.0,33.0,Blocked,Left Foot,Open Play,0,0,25.96150997149434,0.2702423302998968,0.05936193191457943
19775,Liverpool WFC,Courtney Sweetman-Kirk,108.0,34.0,Goal,Right Foot,Open Play,1,0,13.41640786499874,0.485199017916681,0.12578882959339371
19775,Reading WFC,Brooke Chaplen,112.0,59.0,Blocked,Right Foot,Open Play,0,0,20.615528128088304,0.1413240887265653,0.06667853116257431
19775,Reading WFC,Rachel Furness,112.0,33.0,Blocked,Left Foot,Open Play,0,0,10.63014581273465,0.531494129225016,0.14714688791952182
19775,Reading WFC,Fara Williams,102.0,60.0,Blocked,Left Foot,Open Play,0,0,26.90724809414742,0.1833374724903166,0.05225875889832876
19775,Reading WFC,Mayumi Pacheco,101.0,30.0,Off T,Left Foot,Open Play,0,0,21.470910553583888,0.3012631457505211,0.07479989445659643
19775,Reading WFC,Fara Williams,89.0,41.0,Saved,Right Foot,Open Play,0,0,31.016124838541646,0.234802201624371,0.04555244782574472
19775,Liverpool WFC,Kirsty Linnett,95.0,49.0,Saved,Left Foot,Open Play,0,0,26.570660511172846,0.2583168594303517,0.05708374585770627
19775,Liverpool WFC,Jessica Anne Clarke,112.0,35.0,Off T,Head,Open Play,0,1,9.433981132056603,0.6590339261642636,0.1724598817668139
19775,Liverpool WFC,Jessica Anne Clarke,104.0,52.0,Off T,Left Foot,Open Play,0,0,20.0,0.2941567426761246,0.07930382234307795
19775,Liverpool WFC,Courtney Sweetman-Kirk,115.0,34.0,Off T,Head,Open Play,0,1,7.810249675906654,0.6554478745928638,0.18332599025895271
19775,Reading WFC,Fara Williams,108.0,49.0,Off T,Right Foot,Open Play,0,0,15.0,0.3934676145234129,0.10819574864064885
19775,Reading WFC,Fara Williams,94.0,46.0,Off T,Right Foot,Free Kick,0,0,26.68332812825267,0.2659742743547009,0.057217138486127736
19775,Liverpool WFC,Jessica Anne Clarke,106.0,20.0,Blocked,Right Foot,Open Play,0,0,24.413111231467404,0.1741185995851061,0.058001276686088024
19775,Reading WFC,Charlotte Estcourt,90.0,60.0,Saved,Right Foot,Open Play,0,0,36.05551275463989,0.1690527659190792,0.03382565790574921
19775,Reading WFC,Remi Allen,90.0,41.0,Off T,Right Foot,Open Play,0,0,30.01666203960727,0.2425371939646118,0.04804956776957549
19775,Reading WFC,Brooke Chaplen,108.0,52.0,Off T,Right Foot,Open Play,0,0,16.97056274847714,0.3095925826558117,0.09192196395866463
19775,Reading WFC,Fara Williams,107.0,23.0,Saved,Left Foot,Open Play,0,0,21.40093455903269,0.2108516720733792,0.06881897715322662
19775,Reading WFC,Fara Williams,98.0,51.0,Off T,Right Foot,Open Play,0,0,24.596747752497688,0.265769527123989,0.0628588421586792
19775,Reading WFC,Fara Williams,99.0,41.0,Off T,Left Foot,Open Play,0,0,21.02379604162864,0.3443620866998682,0.07948896521303662
19775,Reading WFC,Brooke Chaplen,114.0,32.0,Off T,Left Foot,Open Play,0,0,10.0,0.4693381791262921,0.14296072608516547
19775,Reading WFC,Fara Williams,89.0,27.0,Goal,Right Foot,Free Kick,1,0,33.61547262794322,0.2004929302628403,0.039071698672531616
19775,Liverpool WFC,Courtney Sweetman-Kirk,118.0,39.0,Goal,Head,Open Play,1,1,2.23606797749979,2.091479969669102,0.5629770339489737
19775,Reading WFC,Rachel Furness,89.0,26.0,Off T,Left Foot,Open Play,0,0,34.0147027033899,0.1958809289057418,0.03818299288520057
19775,Reading WFC,Kirstyn Pearce,92.0,54.0,Off T,Right Foot,Open Play,0,0,31.304951684997057,0.208946417272536,0.04382309220277169
19775,Reading WFC,Rachel Furness,99.0,22.0,Off T,Left Foot,Open Play,0,0,27.65863337187866,0.2017402975803671,0.05141623760890209
19775,Reading WFC,Fara Williams,91.0,49.0,Goal,Left Foot,Open Play,1,0,30.364452901377952,0.229516137759087,0.04669026988092157
19775,Reading WFC,Rachel Furness,110.0,39.0,Off T,Head,Open Play,0,1,10.04987562112089,0.6960594565863748,0.17368395767357614
19775,Reading WFC,Fara Williams,82.0,33.0,Saved,Right Foot,Open Play,0,0,38.63935817272331,0.1858272517344525,0.030502003746453687
19775,Reading WFC,Molly Bartrip,92.0,40.0,Off T,Left Foot,Open Play,0,0,28.0,0.2599547094013491,0.053583361451440936
19775,Reading WFC,Molly Bartrip,100.0,39.0,Off T,Right Foot,Open Play,0,0,20.024984394500787,0.3611397948230591,0.0843980300367004
19775,Reading WFC,Remi Allen,99.0,50.0,Post,Right Foot,Open Play,0,0,23.259406699226016,0.2835065387473691,0.06789924146114763
19792,Yeovil Town LFC,Bonnie Horwood,92.0,28.0,Off T,Right Foot,Free Kick,0,0,30.463092423455635,0.2204546814886703,0.046067796544843526
